tick,timestamp,cenario,controlador,msgs_processadas_intervalo,target_atual,erro_absoluto,erro_relativo,dentro_banda,fila_broker,prefetch_count,decisao,ticks_desde_mudanca_target
1,1779112090.802,mudanca_target,heuristica_simples,233,100,133,1.33,0,433212,1,1,1
2,1779112095.901,mudanca_target,heuristica_simples,321,100,221,2.21,0,433427,2,0,2
3,1779112100.923,mudanca_target,heuristica_simples,322,100,222,2.22,0,433469,2,0,3
4,1779112105.951,mudanca_target,heuristica_simples,321,800,479,-0.59875,0,433470,2,1,1
5,1779112110.983,mudanca_target,heuristica_simples,321,800,479,-0.59875,0,433473,3,1,2
6,1779112116.008,mudanca_target,heuristica_simples,316,800,484,-0.605,0,433474,3,1,3
7,1779112121.083,mudanca_target,heuristica_simples,304,800,496,-0.62,0,433474,4,1,4
8,1779112126.117,mudanca_target,heuristica_simples,315,200,115,0.575,0,433496,4,-1,1
9,1779112131.146,mudanca_target,heuristica_simples,324,200,124,0.62,0,433501,4,-1,2
10,1779112136.181,mudanca_target,heuristica_simples,317,200,117,0.585,0,433501,4,-1,3
11,1779112141.211,mudanca_target,heuristica_simples,323,200,123,0.615,0,433501,4,-1,4
12,1779112146.239,mudanca_target,heuristica_simples,320,500,180,-0.36,0,433503,4,1,1
13,1779112151.293,mudanca_target,heuristica_simples,316,500,184,-0.368,0,433505,4,1,2
14,1779112156.328,mudanca_target,heuristica_simples,281,500,219,-0.438,0,433509,5,1,3
15,1779112161.348,mudanca_target,heuristica_simples,322,500,178,-0.356,0,433520,5,1,4
16,1779112166.378,mudanca_target,heuristica_simples,323,350,27,-0.077143,1,433526,5,0,1
17,1779112171.402,mudanca_target,heuristica_simples,320,350,30,-0.085714,1,433527,5,0,2
18,1779112176.435,mudanca_target,heuristica_simples,297,350,53,-0.151429,0,433530,5,0,3
19,1779112181.459,mudanca_target,heuristica_simples,299,350,51,-0.145714,0,433538,5,0,4
20,1779112186.495,mudanca_target,heuristica_simples,282,700,418,-0.597143,0,433549,6,1,1
21,1779112191.516,mudanca_target,heuristica_simples,321,700,379,-0.541429,0,433562,6,1,2
22,1779112196.576,mudanca_target,heuristica_simples,317,700,383,-0.547143,0,433562,6,1,3
23,1779112201.601,mudanca_target,heuristica_simples,318,700,382,-0.545714,0,433562,6,1,4
