tick,timestamp,cenario,controlador,msgs_processadas_intervalo,msgs_por_segundo,target_atual,erro_absoluto,erro_relativo,dentro_banda,fila_broker,prefetch_count,decisao,ticks_desde_mudanca_target,prefetch_aplicado
1,1780390326.851,mudanca_target,knn,660,22.0,230,208.0,-0.904348,0,14471,2,1,1,1
2,1780390357.103,mudanca_target,knn,1324,44.1333,230,185.8667,-0.808116,0,22247,3,1,2,1
3,1780390387.351,mudanca_target,knn,1944,64.8,230,165.2,-0.718261,0,29449,4,1,3,1
4,1780390417.589,mudanca_target,knn,2573,85.7667,230,144.23329999999999,-0.627101,0,36006,5,1,4,1
5,1780390447.825,mudanca_target,knn,3119,103.9667,230,126.0333,-0.547971,0,41996,6,1,5,1
6,1780390478.076,mudanca_target,knn,3721,124.0333,230,105.9667,-0.460725,0,47427,7,1,6,1
7,1780390508.314,mudanca_target,knn,4200,140.0,230,90.0,-0.391304,0,52321,8,1,7,1
8,1780390538.613,mudanca_target,knn,4714,157.1333,230,72.86670000000001,-0.316812,0,56743,9,1,8,1
9,1780390568.876,mudanca_target,knn,5139,171.3,230,58.69999999999999,-0.255217,0,60696,10,1,9,1
10,1780390599.138,mudanca_target,knn,5625,187.5,230,42.5,-0.184783,0,64244,11,1,10,1
11,1780390629.393,mudanca_target,knn,5924,197.4667,230,32.5333,-0.141449,0,67457,12,1,11,1
12,1780390659.634,mudanca_target,knn,6291,209.7,230,20.30000000000001,-0.088261,1,70349,13,1,12,1
13,1780390689.961,mudanca_target,knn,6476,215.8667,230,14.133299999999991,-0.061449,1,72934,14,1,13,1
14,1780390720.247,mudanca_target,knn,6800,226.6667,230,3.3333000000000084,-0.014493,1,75305,15,1,14,1
15,1780390750.589,mudanca_target,knn,6762,225.4,230,4.599999999999994,-0.02,1,77594,16,1,15,1
16,1780390780.883,mudanca_target,knn,7049,234.9667,230,4.966700000000003,0.021594,1,79698,17,1,16,1
17,1780390811.133,mudanca_target,knn,6988,232.9333,230,2.9333000000000027,0.012753,1,81572,18,1,17,1
18,1780390842.149,mudanca_target,knn,7488,249.6,230,19.599999999999994,0.085217,1,83772,19,1,18,1
19,1780390873.268,mudanca_target,knn,7381,246.0333,230,16.033299999999997,0.06971,1,85622,19,0,19,0
