tick,timestamp,cenario,controlador,msgs_processadas_intervalo,msgs_por_segundo,target_atual,erro_absoluto,erro_relativo,dentro_banda,fila_broker,prefetch_count,decisao,ticks_desde_mudanca_target,prefetch_aplicado
1,1780378993.579,mudanca_target,lgbm,666,22.2,230,207.8,-0.903478,0,9912,2,1,1,1
2,1780379023.813,mudanca_target,lgbm,1314,43.8,230,186.2,-0.809565,0,17719,3,1,2,1
3,1780379054.048,mudanca_target,lgbm,1921,64.0333,230,165.9667,-0.721594,0,24853,4,1,3,1
4,1780379084.288,mudanca_target,lgbm,2552,85.0667,230,144.9333,-0.630145,0,31447,5,1,4,1
5,1780379114.551,mudanca_target,lgbm,3086,102.8667,230,127.1333,-0.552753,0,37416,6,1,5,1
6,1780379144.753,mudanca_target,lgbm,3714,123.8,230,106.2,-0.461739,0,42828,7,1,6,1
7,1780379174.984,mudanca_target,lgbm,4188,139.6,230,90.4,-0.393043,0,47710,8,1,7,1
8,1780379205.237,mudanca_target,lgbm,4762,158.7333,230,71.26669999999999,-0.309855,0,52088,9,1,8,1
9,1780379235.513,mudanca_target,lgbm,5207,173.5667,230,56.4333,-0.245362,0,55936,10,1,9,1
10,1780379265.743,mudanca_target,lgbm,5564,185.4667,230,44.5333,-0.193623,0,59506,11,1,10,1
11,1780379296.047,mudanca_target,lgbm,5874,195.8,230,34.19999999999999,-0.148696,0,62742,12,1,11,1
12,1780379326.294,mudanca_target,lgbm,6297,209.9,230,20.099999999999994,-0.087391,1,65555,12,0,12,0
13,1780379356.413,mudanca_target,lgbm,6279,209.3,230,20.69999999999999,-0.09,1,68256,12,0,13,0
14,1780379386.513,mudanca_target,lgbm,6277,209.2333,230,20.766699999999986,-0.09029,1,71009,12,0,14,0
15,1780379416.639,mudanca_target,lgbm,6174,205.8,230,24.19999999999999,-0.105217,0,73854,13,1,15,1
16,1780379446.886,mudanca_target,lgbm,6612,220.4,230,9.599999999999994,-0.041739,1,76388,13,0,16,0
17,1780379476.992,mudanca_target,lgbm,6422,214.0667,230,15.933300000000003,-0.069275,1,79002,13,0,17,0
18,1780379507.074,mudanca_target,lgbm,6583,219.4333,230,10.566699999999997,-0.045942,1,81441,13,0,18,0
19,1780379537.186,mudanca_target,lgbm,6431,214.3667,230,15.633299999999991,-0.067971,1,83997,13,0,19,0
20,1780379567.297,mudanca_target,lgbm,6620,220.6667,230,9.333300000000008,-0.04058,1,86471,13,0,20,0
21,1780379597.412,mudanca_target,lgbm,6467,215.5667,230,14.433300000000003,-0.062753,1,88962,13,0,21,0
22,1780379627.528,mudanca_target,lgbm,6535,217.8333,230,12.166699999999992,-0.052899,1,91525,13,0,22,0
23,1780379657.643,mudanca_target,lgbm,6419,213.9667,230,16.033299999999997,-0.06971,1,94090,13,0,23,0
24,1780379687.756,mudanca_target,lgbm,6517,217.2333,230,12.766699999999986,-0.055507,1,96579,13,0,24,0
25,1780379717.876,mudanca_target,lgbm,6447,214.9,230,15.099999999999994,-0.065652,1,99070,13,0,25,0
26,1780379747.983,mudanca_target,lgbm,6639,221.3,230,8.699999999999989,-0.037826,1,101524,13,0,26,0
27,1780379778.093,mudanca_target,lgbm,6521,217.3667,230,12.633299999999991,-0.054927,1,103972,13,0,27,0
28,1780379808.213,mudanca_target,lgbm,6550,218.3333,230,11.666699999999992,-0.050725,1,106875,13,0,28,0
29,1780379838.344,mudanca_target,lgbm,6406,213.5333,230,16.466700000000003,-0.071594,1,109527,13,0,29,0
30,1780379868.455,mudanca_target,lgbm,6569,218.9667,230,11.033299999999997,-0.047971,1,111976,13,0,30,0
31,1780379898.553,mudanca_target,lgbm,6568,218.9333,230,11.066699999999997,-0.048116,1,114448,13,0,31,0
32,1780379928.653,mudanca_target,lgbm,6660,222.0,230,8.0,-0.034783,1,116874,13,0,32,0
33,1780379958.743,mudanca_target,lgbm,6615,220.5,230,9.5,-0.041304,1,119266,13,0,33,0
34,1780379988.856,mudanca_target,lgbm,6646,221.5333,230,8.466700000000003,-0.036812,1,121677,13,0,34,0
35,1780380018.953,mudanca_target,lgbm,6300,210.0,230,20.0,-0.086957,1,124216,13,0,35,0
36,1780380049.069,mudanca_target,lgbm,6589,219.6333,230,10.366700000000009,-0.045073,1,126697,13,0,36,0
37,1780380079.173,mudanca_target,lgbm,6530,217.6667,230,12.333300000000008,-0.053623,1,129104,13,0,37,0
38,1780380109.283,mudanca_target,lgbm,6510,217.0,230,13.0,-0.056522,1,131613,13,0,38,0
39,1780380139.407,mudanca_target,lgbm,6478,215.9333,230,14.066699999999997,-0.06116,1,134078,13,0,39,0
40,1780380169.51,mudanca_target,lgbm,6522,217.4,230,12.599999999999994,-0.054783,1,136654,13,0,40,0
41,1780380199.626,mudanca_target,lgbm,6583,219.4333,230,10.566699999999997,-0.045942,1,139088,13,0,41,0
42,1780380229.721,mudanca_target,lgbm,6543,218.1,230,11.900000000000006,-0.051739,1,141554,13,0,42,0
43,1780380259.82,mudanca_target,lgbm,6490,216.3333,230,13.666699999999992,-0.05942,1,144029,13,0,43,0
44,1780380289.939,mudanca_target,lgbm,6543,218.1,230,11.900000000000006,-0.051739,1,146527,13,0,44,0
