tick,timestamp,cenario,controlador,msgs_processadas_intervalo,msgs_por_segundo,target_atual,erro_absoluto,erro_relativo,dentro_banda,fila_broker,prefetch_count,decisao,ticks_desde_mudanca_target,prefetch_aplicado
1,1780367801.313,mudanca_target,xgboost,668,22.2667,230,207.73329999999999,-0.903188,0,11379,2,1,1,1
2,1780367831.523,mudanca_target,xgboost,1305,43.5,230,186.5,-0.81087,0,19154,3,1,2,1
3,1780367861.754,mudanca_target,xgboost,1944,64.8,230,165.2,-0.718261,0,26349,4,1,3,1
4,1780367891.981,mudanca_target,xgboost,2536,84.5333,230,145.4667,-0.632464,0,32885,5,1,4,1
5,1780367922.203,mudanca_target,xgboost,3181,106.0333,230,123.9667,-0.538986,0,38849,6,1,5,1
6,1780367952.434,mudanca_target,xgboost,3668,122.2667,230,107.7333,-0.468406,0,44222,7,1,6,1
7,1780367982.712,mudanca_target,xgboost,4262,142.0667,230,87.9333,-0.382319,0,49131,8,1,7,1
8,1780368012.953,mudanca_target,xgboost,4677,155.9,230,74.1,-0.322174,0,53468,9,1,8,1
9,1780368043.219,mudanca_target,xgboost,5202,173.4,230,56.599999999999994,-0.246087,0,57440,10,1,9,1
10,1780368073.451,mudanca_target,xgboost,5547,184.9,230,45.099999999999994,-0.196087,0,60988,11,1,10,1
11,1780368103.761,mudanca_target,xgboost,6017,200.5667,230,29.433300000000003,-0.127971,0,64087,12,1,11,1
12,1780368134.02,mudanca_target,xgboost,6127,204.2333,230,25.766699999999986,-0.112029,0,67020,13,1,12,1
13,1780368164.278,mudanca_target,xgboost,6540,218.0,230,12.0,-0.052174,1,69603,13,0,13,0
14,1780368194.381,mudanca_target,xgboost,6473,215.7667,230,14.233300000000014,-0.061884,1,72093,13,0,14,0
15,1780368224.493,mudanca_target,xgboost,6509,216.9667,230,13.033299999999997,-0.056667,1,74613,13,0,15,0
16,1780368254.593,mudanca_target,xgboost,6451,215.0333,230,14.966700000000003,-0.065073,1,77162,13,0,16,0
17,1780368284.714,mudanca_target,xgboost,6564,218.8,230,11.199999999999989,-0.048696,1,79677,13,0,17,0
