qtd_mensagens,avg_proc,avg_queue,cpu_global,ram_global,cpu_processo,ram_processo_mb,prefetch_count,decisao,target_quantity_message
354,2.3664745763,1271.9642097324,0.0,65.0,0.0,104.85,4,0,3000
314,7.3363726115,1276.6700911765,60.0,66.5,98.7,194.15,4,0,3000
313,12.273316294,1281.3676133034,50.6,67.0,99.1,299.25,4,0,3000
365,17.4446520548,1286.3381258011,63.9,67.7,96.3,385.37,4,0,3000
308,22.2162662338,1290.7717162278,43.1,69.2,99.1,490.5,4,0,3000
339,27.2800678466,1295.6336343394,54.6,70.9,97.7,595.38,4,0,3000
355,32.5656788732,1300.7288709526,51.9,72.1,98.4,713.83,4,0,3000
272,37.9954227941,1305.9734751328,57.2,72.4,97.2,804.13,4,0,3000
275,42.1773890909,1309.979340751,46.2,73.6,97.8,902.47,4,0,3000
387,47.3148501292,1314.8555018156,67.2,74.7,98.7,1000.57,4,0,3000
277,52.1093176895,1319.3986769764,43.8,75.7,99.1,1094.98,4,0,3000
316,56.9051265823,1323.9421059701,61.6,77.9,97.3,1225.07,5,0,1100
212,66.1561981132,1332.8181882984,41.9,79.7,97.6,1370.89,5,0,1100
357,71.0668095238,1337.4243027089,65.2,81.1,84.4,1464.72,5,0,1100
392,76.4865561225,1342.2589993179,74.5,82.0,88.6,1544.05,5,0,1100
241,80.8233236515,1346.1558553935,46.3,82.8,98.7,1620.31,5,0,1100
404,86.3874777228,1351.406945493,73.5,84.3,94.4,1703.19,5,0,1100
358,91.2482234637,1355.9371642554,84.4,88.3,82.9,1764.73,5,0,1100
390,96.1958076923,1360.7195667163,71.3,87.0,92.3,1851.46,5,0,1100
369,101.1037831978,1365.3123549594,60.6,84.7,96.3,1954.77,5,0,1100
223,107.2026502243,1370.9965233792,65.3,84.7,97.8,1996.41,5,0,1100
341,111.0366656891,1374.4473323011,53.6,86.6,97.8,2110.76,5,0,1100
357,115.8754089636,1378.7168402972,60.5,87.0,98.4,2245.25,6,0,1100
201,124.3826815921,1386.7150692347,39.1,88.9,98.7,2391.87,6,0,2500
360,131.0394055556,1393.0130949226,46.4,90.3,99.4,2515.88,6,0,2500
398,136.0532336683,1397.7448077058,68.0,91.7,96.3,2609.17,6,0,2500
365,141.0589890411,1402.2933752733,52.4,91.9,98.2,2725.2,6,0,2500
370,146.0038945946,1406.550612612,59.9,93.4,97.8,2830.27,6,0,2500
267,150.470340824,1410.5742166319,44.4,94.3,98.7,2905.36,6,0,2500
361,158.0756952909,1417.7013306499,52.6,94.8,98.8,2995.07,6,0,2500
360,163.2770472222,1422.4735974391,58.6,95.8,94.7,3057.56,6,0,2500
382,168.2853010471,1427.1275289258,60.7,96.2,98.4,3143.48,6,0,2500
385,173.1891116884,1431.5836875606,70.8,96.0,97.5,3056.55,6,0,2500
153,176.6335882353,1434.741367633,62.4,95.7,98.7,3134.28,7,0,2500
304,184.3594342105,1441.967062347,57.7,95.5,95.7,3129.01,7,0,2500
97,190.5609484536,1447.8753917635,41.1,95.5,99.7,3155.78,7,0,1300
361,194.2835512465,1451.2972477473,60.8,94.9,95.7,3150.86,7,0,1300
386,199.2024896373,1455.6652469437,59.8,95.5,97.5,3227.64,7,0,1300
481,204.3487733887,1460.3921667885,27.7,95.2,40.5,3228.72,7,0,1300
579,208.9835457685,1464.292547802,7.3,95.2,0.0,3229.21,7,0,1300
567,213.7800652557,1468.4959373007,24.8,95.0,0.0,3229.65,7,0,1300
580,218.6793327586,1473.0434269786,9.4,95.0,0.0,3230.08,7,0,1300
578,223.5676470589,1477.3930234377,18.6,94.5,0.0,3230.54,7,0,1300
602,228.5348787375,1481.346740872,15.8,94.5,0.9,3230.98,7,0,1300
571,233.364507881,1485.470960944,15.3,94.4,0.0,3231.41,7,0,1300
565,238.2750106195,1489.8377113574,16.3,94.9,0.0,3231.84,8,0,1300
572,243.1309230769,1494.2077342172,18.4,94.7,0.3,3232.28,8,0,1300
