qtd_mensagens,avg_proc,avg_queue,avg_tempo_vida,cpu_global,ram_global,cpu_processo,ram_processo_mb,prefetch_count,decisao,target_quantity_message
1536,0.6976686198,2367.3143747803,2367.3143747803,0.0,93.9,0.0,39.64,2,0,3000
2467,5.0948840697,2368.9938774592,2368.9938774592,99.9,94.0,44.4,58.88,2,0,3000
3698,7.3594540292,2366.6407578079,2366.6407578079,99.9,93.9,66.5,80.62,2,0,3000
4614,9.522071088,2365.5376466924,2365.5376466924,87.1,93.9,89.1,123.01,2,0,3000
4356,12.1306698806,2360.314890159,2360.314890159,64.3,93.1,92.6,185.18,2,0,3000
4777,15.0803939711,2354.1960834025,2354.1960834025,81.7,94.5,87.3,231.37,2,0,3000
4357,17.7790052789,2348.5756485622,2348.5756485622,66.6,94.1,93.8,289.24,2,0,3000
4771,20.9254034794,2344.3245282324,2344.3245282324,58.1,95.0,96.6,358.78,2,0,3000
4683,24.595016656,2339.8517373398,2339.8517373398,66.4,96.0,93.6,411.74,2,0,3000
4474,28.4006077336,2332.9547684222,2332.9547684222,71.9,96.0,92.3,435.0,2,0,3000
4450,32.542365618,2326.6621481943,2326.6621481943,59.4,94.0,97.8,502.49,2,0,3000
3386,35.8255853514,2325.0408142053,2325.0408142053,83.4,94.2,80.0,579.19,3,0,3000
3083,47.2325296789,2332.3130151761,2332.3130151761,53.3,94.5,96.6,644.62,3,0,3000
3887,51.5413563159,2331.9343551092,2331.9343551092,56.4,94.9,94.8,712.21,3,0,3000
5158,55.3407741373,2329.6817518474,2329.6817518474,65.0,94.2,94.8,753.78,3,0,3000
4073,59.6165136263,2326.129368694,2326.129368694,58.2,94.8,99.7,818.79,3,0,3000
4875,63.6073009231,2319.88149524,2319.88149524,70.9,94.7,92.0,873.14,3,0,3000
3955,66.894034134,2317.5005299855,2317.5005299855,67.6,95.0,96.0,921.53,3,0,3000
4805,71.4445546306,2319.2526862388,2319.2526862388,57.5,95.6,95.1,992.49,3,0,3000
4973,75.1092197869,2319.7292573043,2319.7292573043,54.7,96.2,96.6,1080.17,3,0,3000
2917,78.572114844,2320.989202643,2320.989202643,62.5,95.8,91.3,1103.34,3,0,3000
4897,82.8154376149,2323.8998779966,2323.8998779966,66.0,95.7,92.8,1177.05,3,0,3000
2099,86.0115631253,2325.2984852837,2325.2984852837,64.6,93.7,74.8,1250.59,4,0,3000
2387,95.1108521156,2332.9816166018,2332.9816166018,59.2,94.9,94.2,1346.94,4,0,3000
4675,100.5551093048,2335.8566467435,2335.8566467435,49.1,95.3,93.8,1440.51,4,0,3000
4981,104.30487633,2336.370876611,2336.370876611,58.6,95.5,94.1,1497.53,4,0,3000
4996,108.4012353883,2337.8549511708,2337.8549511708,59.2,95.9,94.4,1555.91,4,0,3000
2635,111.6471677419,2338.5640458299,2338.5640458299,58.3,95.8,88.0,1596.12,4,0,3000
5336,117.5780406672,2341.8030581182,2341.8030581182,65.6,95.9,93.9,1662.94,4,0,3000
4693,121.5046290219,2342.5603800618,2342.5603800618,62.7,96.0,90.4,1714.9,4,0,3000
5001,125.3765742851,2344.269287069,2344.269287069,56.0,96.2,97.5,1772.05,4,0,3000
4975,129.510481407,2345.689071214,2345.689071214,66.9,95.4,92.3,1753.67,4,0,3000
1849,132.6514526771,2346.6705704237,2346.6705704237,46.1,95.4,90.2,1807.04,4,0,3000
3341,137.8731068542,2350.5177645396,2350.5177645396,72.1,96.0,86.2,1891.77,5,0,3000
4096,147.4493054199,2358.1705636601,2358.1705636601,57.6,95.9,91.7,1904.7,5,0,3000
4919,151.1542262655,2357.6691192869,2357.6691192869,59.7,96.1,97.5,1964.0,5,0,3000
4421,155.2265636734,2358.2475368049,2358.2475368049,54.9,94.8,83.1,2009.42,5,0,3000
